RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,NAV_FAIL,MANIP_FAIL,GRIP_FAIL,ENV_MANIP_FAIL,REACH_FAIL,FIND_FAIL,ENV_REACH_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,8,4,4,0,0,0,0,339.0018219947815
0,SPOON,SUM,0,0,0,0,4,10,8,0,6,0,0,761.6724438667297
0,CUP,SUM,0,0,0,0,8,4,4,0,6,0,0,362.22083592414856
0,MILK,SUM,1,0,0,1,12,18,4,0,22,0,1,0.0
0,BREAKFAST-CEREAL,SUM,0,0,0,0,22,32,28,0,3,0,0,663.3395159244537
0,,SUM,1,0,0,1,54,68,48,0,37,0,1,2126.2346177101135
0,,
1,,
1,BOWL,SUM,0,0,0,0,20,2,4,0,18,0,0,566.247465133667
1,SPOON,SUM,0,0,0,0,0,12,8,0,5,0,0,391.1711850166321
1,CUP,SUM,0,0,0,0,24,12,16,0,10,0,0,577.1946911811829
1,MILK,SUM,0,0,0,0,66,76,16,0,2,0,16,798.7140069007874
1,BREAKFAST-CEREAL,SUM,0,0,0,0,8,18,4,0,4,0,0,425.26733803749084
1,,SUM,0,0,0,0,118,120,48,0,39,0,16,2758.59468626976
1,,
2,,
2,BOWL,SUM,0,0,0,0,12,8,4,0,18,0,0,476.4156060218811
2,SPOON,SUM,0,0,0,0,0,24,8,0,9,0,0,436.3989109992981
2,CUP,SUM,1,0,0,1,56,52,10,0,49,0,0,0.0
2,,
2,MILK,SUM,0,0,0,0,0,8,10,0,12,0,3,539.7953820228577
2,BREAKFAST-CEREAL,SUM,0,0,0,0,20,6,10,0,2,0,1,529.8712849617004
2,,SUM,0,0,0,0,20,14,20,0,14,0,4,1069.666666984558
2,,
3,,
3,,
3,SPOON,SUM,0,0,0,0,0,34,16,0,9,0,0,523.675253868103
3,CUP,SUM,0,0,0,0,38,2,4,0,14,0,0,476.29060888290405
3,MILK,SUM,0,0,0,0,24,38,4,0,15,0,1,752.9104330539703
3,BREAKFAST-CEREAL,SUM,0,0,0,0,40,20,7,0,2,0,5,459.36158895492554
3,,SUM,0,0,0,0,102,94,31,0,40,0,6,2212.237884759903
3,,
4,,
4,BOWL,SUM,0,0,0,0,26,4,4,0,35,0,0,678.3177151679993
4,SPOON,SUM,0,0,0,0,0,12,24,0,3,0,0,497.70049691200256
4,CUP,SUM,0,0,0,0,44,58,40,0,16,0,0,1018.0721299648285
4,MILK,SUM,0,0,0,0,4,30,10,0,10,0,4,655.6780021190643
4,BREAKFAST-CEREAL,SUM,0,0,0,0,24,48,37,0,4,0,0,572.984885931015
4,,SUM,0,0,0,0,98,152,115,0,68,0,4,3422.7532300949097
4,,
